City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,nova sintra,14.8667,-24.7167,22.79,79,35,9.89,CV,1690575371
145,luderitz,-26.6481,15.1594,12.37,87,100,6.84,NA,1690575371
146,phan rang-thap cham,11.5667,108.9833,25.59,86,94,3.16,VN,1690575372
147,whitehorse,60.7161,-135.0538,24.43,41,20,4.12,CA,1690575372
148,udachny,66.4167,112.4,15.25,54,18,0.71,RU,1690575373
149,bathsheba,13.2167,-59.5167,28.34,89,40,6.17,BB,1690575373
150,guercif,34.2257,-3.3536,30.22,29,76,7.05,MA,1690575373
151,antonio enes,-16.2325,39.9086,22.55,74,0,3.97,MZ,1690575373
152,bani zayd,32.0392,35.1032,29.58,48,0,0.49,PS,1690575374
153,enewetak,11.3474,162.3373,28.41,82,100,6.82,MH,1690575375
154,vila franca do campo,37.7167,-25.4333,23.23,83,10,3.91,PT,1690575376
155,buchanan,5.8808,-10.0467,25.22,87,100,4.95,LR,1690575376
156,saipan,15.1355,145.701,27.39,100,0,2.06,MP,1690575376
157,grand baie,-20.0182,57.5802,22.26,74,17,6.12,MU,1690575376
158,la'ie,21.6477,-157.9253,29.98,66,61,8.23,US,1690575377
159,hammerfest,70.6634,23.6821,11.25,82,75,3.09,NO,1690575377
160,bangassou,4.7413,22.8184,21.86,97,98,1.12,CF,1690575377
161,college,64.8569,-147.8028,25.32,66,75,2.06,US,1690575378
162,santa cruz,-17.8,-63.1667,23.7,53,75,8.23,BO,1690575236
163,mossel bay,-34.1831,22.146,13.43,83,0,2.12,ZA,1690575378
164,nouadhibou,20.931,-17.0347,22.99,68,28,8.23,MR,1690575379
165,atherton,53.5237,-2.4935,18.49,78,100,0.89,GB,1690575379
166,tono,39.3167,141.5333,21.35,86,0,1.2,JP,1690575379
167,abashiri,44.0213,144.2697,21.42,88,100,3.22,JP,1690575379
168,carnarvon,-24.8667,113.6333,14.95,78,0,6.68,AU,1690575380
169,pachino,36.7186,15.0907,25.64,74,0,5.18,IT,1690575380
170,neftcala,39.3742,49.2472,26.31,81,1,3.5,AZ,1690575380
171,tanjungbalai,2.9667,99.8,24.96,90,99,1.52,ID,1690575381
172,kencong,-8.2833,113.3667,20.6,88,46,1.37,ID,1690575381
173,atafu village,-8.5421,-172.5159,28.95,72,100,7.63,TK,1690575382
174,mehran,33.1222,46.1646,36.9,11,0,5.4,IR,1690575382
175,hithadhoo,-0.6,73.0833,27.57,75,100,3.22,MV,1690575382
176,nar'yan-mar,67.6713,53.087,11.67,91,9,2.61,RU,1690575382
177,kenora,49.8167,-94.4337,17.54,67,100,2.06,CA,1690575383
178,labrador city,52.9463,-66.9114,16.95,55,75,2.57,CA,1690575383
179,zaozersk,69.4005,32.4476,13.3,84,100,2.18,RU,1690575383
180,dayton,39.7589,-84.1916,31.69,74,75,7.2,US,1690575021
181,yongchuan,29.3514,105.8947,22.64,97,40,2.29,CN,1690575384
182,kiunga,-6.1219,141.2906,22.39,97,99,0.51,PG,1690575384
183,dryden,49.7833,-92.7503,21.02,43,81,1.8,CA,1690575384
184,mukalla,14.5425,49.1242,31.69,51,91,2.55,YE,1690575384
185,broken hill,-31.95,141.4333,11.72,82,41,0.67,AU,1690575385
186,sinabang,2.4803,96.3801,26.34,79,75,1.09,ID,1690575385
187,podporozh'ye,60.9112,34.1706,12.57,96,57,3.61,RU,1690575385
188,walvis bay,-22.9575,14.5053,13.38,81,0,3.74,NA,1690575386
189,vorgashor,67.5833,63.95,11.36,89,100,5.66,RU,1690575386
190,vadso,70.0744,29.7487,12.09,94,40,4.12,NO,1690575386
191,molina,-35.1167,-71.2833,13.85,77,100,1.03,CL,1690575386
192,hawaiian paradise park,19.5933,-154.9731,26.69,79,75,2.06,US,1690575387
193,taoudenni,22.6783,-3.9836,41.77,8,4,3.35,ML,1690575387
194,nevers,46.9167,3.3333,18.56,92,74,1.61,FR,1690575111
195,charters towers,-20.1,146.2667,14.0,89,74,2.69,AU,1690575387
196,nuuk,64.1835,-51.7216,12.34,71,75,4.12,GL,1690575323
197,filakovo,48.2676,19.8247,17.99,79,99,1.28,SK,1690575388
198,ashburton,-37.8626,145.0794,12.44,87,2,2.24,AU,1690575388
199,saint-pierre,-21.3393,55.4781,17.82,63,0,3.6,RE,1690575388
200,port alfred,-33.5906,26.891,19.78,57,98,2.55,ZA,1690575389
201,norfolk county,42.1668,-71.2495,34.06,57,20,3.6,US,1690575277
